"Site" "TotAbund" "Dens" "MeanDepth" "Year" "Period" "Xkm" "Ykm" "SweptArea"
62 44 0.000890508 1.845 1980 1 17.39216954 142.7404255 49410
63 387 0.011035073 1.867 1981 1 24.01289723 -40.7829787 35070
64 320 0.003716609 1.872 1979 1 -18.62560291 122.3489361 86100
65 161 0.00420805 1.884 1980 1 28.80561493 -38.92920694 38260
66 173 0.00325188 1.9 1979 1 -33.67554031 -50.0518375 53200
67 166 0.004105058 1.909 2000 2 71.97467262 99.88122239 40437.91406
68 49 0.001012188 1.927 1981 1 -34.84252471 -44.49052222 48410
69 534 0.009571608 1.932 1979 1 -4.658079172 120.4951644 55790
70 5 9.04e-05 1.944 1978 1 56.11819205 100.103675 55330
71 105 0.000772639 1.946 2001 2 -14.14869269 -33.55326884 135897.9219
72 235 0.005269058 1.975 1982 1 45.43687708 -18.53771759 44600
73 267 0.008375157 1.987 1981 1 5.801596281 139.0328819 31880
74 117 0.006525376 1.993 1981 1 76.23793255 83.41972917 17930
75 147 0.006148055 2.015 1981 1 10.48445375 118.6413926 23910
76 136 0.002279489 2.016 2002 2 -1.919322071 -35.96317213 59662.50391
77 107 0.002211067 2.058 2000 2 -38.70740923 -43.95292841 48392.91797
78 228 0.003488906 2.078 1979 1 -25.30832046 -61.17446806 65350
79 108 0.001357637 2.114 2002 2 -12.46447322 -31.14336556 79550
80 469 0.004353476 2.122 1980 1 -12.85121037 103.8112185 107730
81 211 0.002941587 2.172 1981 1 53.97220499 81.56595741 71730
82 39 0.000588309 2.204 2002 2 33.12679882 -19.46460347 66291.67188
83 301 0.003596177 2.23 1982 1 2.34578254 83.41972917 83700
84 155 0.002487396 2.287 2001 2 46.6860626 -10.93725338 62314.17188
85 136 0.002501878 2.292 2001 2 7.783608726 -26.50893616 54359.16797
86 341 0.00648289 2.397 1981 1 27.40637491 0 52600
87 240 0.002549552 2.41 2002 2 20.51082894 -4.07829787 94134.17188
88 138 0.002111706 2.42 1979 1 -1.17831146 59.3206963 65350
89 90 0.001508485 2.434 2001 2 8.964095492 -16.31319148 59662.50391
90 90 0.001508485 2.45 2001 2 -10.16491295 -19.2792263 59662.50391
91 143 0.003536285 2.462 2000 2 3.777718812 -17.51814312 40437.91406
92 291 0.004593528 2.477 1982 1 4.779531781 -14.83017407 63350
93 234 0.003191489 2.486 1982 1 1.180391666 50.0518375 73320
94 192 0.003441477 2.487 1983 1 2.387291335 -9.268858796 55790
95 269 0.004508694 2.5 2002 2 17.01124515 8.898104444 59662.50391
96 227 0.004280327 2.504 2001 2 7.866346295 -1.297640231 53033.33203
97 196 0.003322034 2.53 1981 1 4.776232777 -11.12263056 59000
98 71 0.00089252 2.572 2002 2 -1.194718027 -14.08866537 79550
99 217 0.002617612 2.645 1980 1 -23.61614815 48.19806574 82900
100 242 0.002376043 2.67 1982 1 -28.42906997 31.51411991 101850
101 121 0.002599356 2.737 1979 1 -24.9363589 18.53771759 46550
102 133 0.001702727 2.855 1982 1 -37.1571248 135.3253384 78110
103 174 0.000778733 2.875 1980 1 -37.87887358 35.22166343 223440
104 155 0.001800232 2.97 1980 1 -35.83411861 -12.97640231 86100
105 150 0.002631079 3.048 2000 2 -40.99205904 -9.565462278 57010.83203
106 61 0.000933435 3.066 1979 1 -40.3309001 24.09903287 65350
107 187 0.002495996 3.089 1983 1 -31.03478735 -9.268858796 74920
108 119 0.001994553 3.099 2002 2 -36.86324929 -6.302823981 59662.50391
109 55 0.000691389 3.126 2002 2 -51.31528586 -20.57686653 79550
110 71 0.001020023 3.138 2001 2 -40.74410256 -14.6447969 69606.25781
111 57 0.000574192 3.485 1982 1 -69.03982546 5.561315278 99270
112 84 0.000959945 3.639 2001 2 -83.18070992 22.31941198 87505.00781
113 5 6.15e-05 3.677 1980 1 -79.47559725 24.09903287 81290
114 100 0.001041124 3.753 1977 1 -59.51709091 5.561315278 96050
115 25 0.000490196 3.81 1981 1 -78.64438019 0 51000
116 88 0.000935673 3.9 1981 1 -68.13182463 -16.68394583 94050
117 35 0.000562972 3.985 1981 1 -78.94387466 -20.39148935 62170
118 62 0.000505133 3.995 1983 1 -57.65067198 -42.63675046 122740
120 17 0.000221903 4.016 1978 1 -77.74775535 -20.39148935 76610
121 130 0.001089461 4.02 2001 2 -118.9969732 7.229709861 119325.0078
122 27 0.000332144 4.056 1979 1 -74.31253754 -31.51411991 81290
123 11 0.000106167 4.062 1980 1 -92.00598678 -14.83017407 103610
124 37 0.000772765 4.073 1977 1 -80.11238854 -18.53771759 47880
125 35 0.000643146 4.118 1978 1 -88.54331126 -22.24526111 54420
126 54 0.000452546 4.127 2001 2 -77.59084947 -42.82212764 119325
127 64 0.000647577 4.222 1982 1 -72.13724821 -48.19806574 98830
128 26 0.00023071 4.226 2002 2 -90.60525211 -38.18769824 112695.8359
129 2 1.48e-05 4.242 1981 1 -78.17536143 -50.0518375 135490
130 56 0.000575954 4.245 1982 1 -83.90125206 -31.51411991 97230
131 47 0.000508383 4.292 1980 1 -119.6119313 -20.39148935 92450
132 31 0.00046763 4.298 2001 2 -100.1776926 -51.6275435 66291.67188
133 4 5.01e-05 4.32 1982 1 -108.1689273 -46.34429398 79920
134 23 0.000288582 4.375 1980 1 -112.860617 -40.7829787 79700
135 12 0.00017508 4.51 1979 1 -148.6250751 -31.51411991 68540
137 10 0.000140376 4.765 2002 2 -175.4220352 -63.39899417 71237.03125
138 35 0.000381388 4.787 1979 1 -186.3374168 -12.97640231 91770
139 105 0.000998099 4.8 1984 1 -178.180201 -248.4054157 105200
140 12 7.78e-05 4.81 2002 2 -240.6486394 -116.0461121 154323.0313
141 7 6.79e-05 4.811 2002 2 -226.2229457 -120.4951644 103096.8047
142 4 2.65e-05 4.812 2002 2 -272.4072996 -148.3017407 150707.4688
143 10 8.62e-05 4.812 2002 2 -261.4873989 -142.5550483 115983.8984
144 20 0.000155916 4.84 2000 2 -275.2878982 -123.3499729 128274.3828
145 13 8.16e-05 4.842 1986 1 -215.8402009 -126.0564796 159400
146 24 0.000264026 4.846 1989 1 -259.1226501 -139.0328819 90900
147 38 0.000273973 4.846 1989 1 -255.2863104 -135.3253384 138700
148 29 0.00021658 4.865 1989 1 -248.7649773 -126.0564796 133900
